ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],10s,2mw,2,1,13.529499999999999,24.789,1.0,ns
ROI.01 [],10s,5hz,2,2,13.529499999999999,16.027999999999995,1.0,ns
ROI.01 [],2mw,5hz,1,2,24.789,16.027999999999995,1.0,ns
ROI.03 [],10s,20s,3,1,25.447,12.777,1.0,ns
ROI.03 [],10s,2mw,3,1,25.447,25.777,1.0,ns
ROI.03 [],20s,2mw,1,1,12.777,25.777,1.0,ns
ROI.06 [],10s,2mw,1,1,32.284,25.277,1.0,ns
ROI.06 [],10s,Ctrl,1,1,32.284,51.77799999999999,1.0,ns
ROI.06 [],10s,Far Light Control,1,1,32.284,5.277000000000001,1.0,ns
ROI.06 [],2mw,Ctrl,1,1,25.277,51.77799999999999,1.0,ns
ROI.06 [],2mw,Far Light Control,1,1,25.277,5.277000000000001,1.0,ns
ROI.06 [],Ctrl,Far Light Control,1,1,51.77799999999999,5.277000000000001,1.0,ns
ROI.09 [],10s,20s,3,4,16.611666666666668,24.282249999999998,0.6285714285714286,ns
ROI.09 [],10s,2hz,3,1,16.611666666666668,25.27799999999999,1.0,ns
ROI.09 [],10s,5hz,3,2,16.611666666666668,19.28649999999999,1.0,ns
ROI.09 [],20s,2hz,4,1,24.282249999999998,25.27799999999999,1.0,ns
ROI.09 [],20s,5hz,4,2,24.282249999999998,19.28649999999999,1.0,ns
ROI.09 [],2hz,5hz,1,2,25.27799999999999,19.28649999999999,1.0,ns
ROI.10 [],10s,20s,2,5,21.782,22.580999999999996,0.8571428571428571,ns
ROI.10 [],10s,2hz,2,1,21.782,26.27600000000001,1.0,ns
ROI.10 [],10s,5hz,2,3,21.782,26.11133333333333,1.0,ns
ROI.10 [],10s,5s,2,2,21.782,26.277499999999996,1.0,ns
ROI.10 [],20s,2hz,5,1,22.580999999999996,26.27600000000001,1.0,ns
ROI.10 [],20s,5hz,5,3,22.580999999999996,26.11133333333333,0.7857142857142857,ns
ROI.10 [],20s,5s,5,2,22.580999999999996,26.277499999999996,0.8571428571428571,ns
ROI.10 [],2hz,5hz,1,3,26.27600000000001,26.11133333333333,1.0,ns
ROI.10 [],2hz,5s,1,2,26.27600000000001,26.277499999999996,1.0,ns
ROI.10 [],5hz,5s,3,2,26.11133333333333,26.277499999999996,1.0,ns
ROI.11 [],10s,20s,3,3,23.28266666666667,20.783333333333328,0.7,ns
ROI.11 [],10s,2hz,3,1,23.28266666666667,26.78800000000001,1.0,ns
ROI.11 [],10s,5hz,3,3,23.28266666666667,25.44433333333333,1.0,ns
ROI.11 [],20s,2hz,3,1,20.783333333333328,26.78800000000001,1.0,ns
ROI.11 [],20s,5hz,3,3,20.783333333333328,25.44433333333333,0.7,ns
ROI.11 [],2hz,5hz,1,3,26.78800000000001,25.44433333333333,1.0,ns
ROI.12 [],10s,20s,5,5,18.9848,29.1838,0.42063492063492064,ns
ROI.12 [],10s,2hz,5,1,18.9848,30.78800000000001,1.0,ns
ROI.12 [],10s,5hz,5,2,18.9848,19.28649999999999,1.0,ns
ROI.12 [],20s,2hz,5,1,29.1838,30.78800000000001,1.0,ns
ROI.12 [],20s,5hz,5,2,29.1838,19.28649999999999,0.5714285714285714,ns
ROI.12 [],2hz,5hz,1,2,30.78800000000001,19.28649999999999,1.0,ns
ROI.13 [],10s,20s,4,4,25.15625,24.284750000000003,1.0,ns
ROI.13 [],10s,2hz,4,1,25.15625,27.77799999999999,1.0,ns
ROI.13 [],10s,5hz,4,2,25.15625,19.27749999999999,0.8,ns
ROI.13 [],10s,5s,4,1,25.15625,10.777,1.0,ns
ROI.13 [],20s,2hz,4,1,24.284750000000003,27.77799999999999,1.0,ns
ROI.13 [],20s,5hz,4,2,24.284750000000003,19.27749999999999,0.8,ns
ROI.13 [],20s,5s,4,1,24.284750000000003,10.777,1.0,ns
ROI.13 [],2hz,5hz,1,2,27.77799999999999,19.27749999999999,1.0,ns
ROI.13 [],2hz,5s,1,1,27.77799999999999,10.777,1.0,ns
ROI.13 [],5hz,5s,2,1,19.27749999999999,10.777,1.0,ns
ROI.14 [],10s,20s,2,5,25.2775,28.879200000000004,0.8571428571428571,ns
ROI.14 [],10s,2hz,2,1,25.2775,31.776999999999987,1.0,ns
ROI.14 [],10s,5hz,2,2,25.2775,18.77749999999999,0.6666666666666666,ns
ROI.14 [],10s,5s,2,9,25.2775,19.172555555555554,0.43636363636363634,ns
ROI.14 [],20s,2hz,5,1,28.879200000000004,31.776999999999987,1.0,ns
ROI.14 [],20s,5hz,5,2,28.879200000000004,18.77749999999999,0.5714285714285714,ns
ROI.14 [],20s,5s,5,9,28.879200000000004,19.172555555555554,0.23976023976023977,ns
ROI.14 [],2hz,5hz,1,2,31.776999999999987,18.77749999999999,1.0,ns
ROI.14 [],2hz,5s,1,9,31.776999999999987,19.172555555555554,1.0,ns
ROI.14 [],5hz,5s,2,9,18.77749999999999,19.172555555555554,0.9090909090909092,ns
ROI.16 [],10s,20s,1,4,28.28400000000001,25.160500000000003,1.0,ns
ROI.16 [],10s,2hz,1,2,28.28400000000001,21.776999999999994,1.0,ns
ROI.16 [],10s,5hz,1,2,28.28400000000001,19.77799999999999,1.0,ns
ROI.16 [],20s,2hz,4,2,25.160500000000003,21.776999999999994,1.0,ns
ROI.16 [],20s,5hz,4,2,25.160500000000003,19.77799999999999,0.8,ns
ROI.16 [],2hz,5hz,2,2,21.776999999999994,19.77799999999999,0.6666666666666666,ns
ROI.17 [],10s,20s,2,5,27.277,27.782399999999996,0.8571428571428571,ns
ROI.17 [],10s,5hz,2,2,27.277,18.52799999999999,0.6666666666666666,ns
ROI.17 [],20s,5hz,5,2,27.782399999999996,18.52799999999999,0.5714285714285714,ns
ROI.18 [],10s,20s,2,5,24.527,27.577599999999997,0.8571428571428571,ns
ROI.18 [],10s,5hz,2,4,24.527,24.027749999999997,0.8,ns
ROI.18 [],10s,5s,2,2,24.527,25.027500000000003,1.0,ns
ROI.18 [],20s,5hz,5,4,27.577599999999997,24.027749999999997,1.0,ns
ROI.18 [],20s,5s,5,2,27.577599999999997,25.027500000000003,0.8571428571428571,ns
ROI.18 [],5hz,5s,4,2,24.027749999999997,25.027500000000003,1.0,ns
ROI.19 [],10s,20s,2,7,26.5355,26.782857142857136,0.8888888888888888,ns
ROI.19 [],10s,2hz,2,1,26.5355,29.279,1.0,ns
ROI.19 [],10s,5hz,2,2,26.5355,18.78649999999999,0.6666666666666666,ns
ROI.19 [],20s,2hz,7,1,26.782857142857136,29.279,1.0,ns
ROI.19 [],20s,5hz,7,2,26.782857142857136,18.78649999999999,0.6666666666666666,ns
ROI.19 [],2hz,5hz,1,2,29.279,18.78649999999999,1.0,ns
ROI.20 [],10s,20s,1,4,33.277,24.780749999999998,1.0,ns
ROI.20 [],10s,2hz,1,11,33.277,25.73263636363636,1.0,ns
ROI.20 [],10s,5hz,1,2,33.277,20.52799999999999,1.0,ns
ROI.20 [],20s,2hz,4,11,24.780749999999998,25.73263636363636,0.9494505494505494,ns
ROI.20 [],20s,5hz,4,2,24.780749999999998,20.52799999999999,1.0,ns
ROI.20 [],2hz,5hz,11,2,25.73263636363636,20.52799999999999,0.923076923076923,ns
ROI.21 [],10s,20s,2,3,28.0275,21.613999999999994,0.8,ns
ROI.21 [],10s,2hz,2,1,28.0275,30.282999999999987,1.0,ns
ROI.21 [],10s,5hz,2,3,28.0275,19.278333333333325,0.4,ns
ROI.21 [],10s,5s,2,3,28.0275,8.613666666666667,0.2,ns
ROI.21 [],10s,Ctrl,2,2,28.0275,24.032999999999994,1.0,ns
ROI.21 [],20s,2hz,3,1,21.613999999999994,30.282999999999987,1.0,ns
ROI.21 [],20s,5hz,3,3,21.613999999999994,19.278333333333325,0.7,ns
ROI.21 [],20s,5s,3,3,21.613999999999994,8.613666666666667,0.4,ns
ROI.21 [],20s,Ctrl,3,2,21.613999999999994,24.032999999999994,1.0,ns
ROI.21 [],2hz,5hz,1,3,30.282999999999987,19.278333333333325,1.0,ns
ROI.21 [],2hz,5s,1,3,30.282999999999987,8.613666666666667,1.0,ns
ROI.21 [],2hz,Ctrl,1,2,30.282999999999987,24.032999999999994,1.0,ns
ROI.21 [],5hz,5s,3,3,19.278333333333325,8.613666666666667,0.2,ns
ROI.21 [],5hz,Ctrl,3,2,19.278333333333325,24.032999999999994,1.0,ns
ROI.21 [],5s,Ctrl,3,2,8.613666666666667,24.032999999999994,0.8,ns
ROI.22 [],20s,2hz,10,13,19.179499999999997,27.202692307692306,0.4023445244588073,ns
ROI.22 [],20s,2mw,10,1,19.179499999999997,46.787000000000006,1.0,ns
ROI.22 [],20s,5hz,10,1,19.179499999999997,28.291,1.0,ns
ROI.22 [],20s,5s,10,7,19.179499999999997,12.924999999999999,0.1567980583911162,ns
ROI.22 [],20s,Far Light Control,10,1,19.179499999999997,31.288,1.0,ns
ROI.22 [],2hz,2mw,13,1,27.202692307692306,46.787000000000006,1.0,ns
ROI.22 [],2hz,5hz,13,1,27.202692307692306,28.291,1.0,ns
ROI.22 [],2hz,5s,13,7,27.202692307692306,12.924999999999999,0.09680082559339526,ns
