Condition_A,Condition_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
5s,10s,8,30,3.0,1.3,0.01513,*
5s,20s,8,46,3.0,1.5217,0.05727,ns
5s,Ctrl,8,3,3.0,1.3333,0.282,ns
5s,Far Light Control,8,4,3.0,1.5,0.32815,ns
5s,2hz,8,17,3.0,2.3529,0.15655,ns
5s,2mw,8,5,3.0,1.0,0.04481,*
5s,5hz,8,20,3.0,1.75,0.26474,ns
10s,20s,30,46,1.3,1.5217,0.2169,ns
10s,Ctrl,30,3,1.3,1.3333,0.87172,ns
10s,Far Light Control,30,4,1.3,1.5,0.4,ns
10s,2hz,30,17,1.3,2.3529,0.63115,ns
10s,2mw,30,5,1.3,1.0,0.20813,ns
10s,5hz,30,20,1.3,1.75,0.00183,**
20s,Ctrl,46,3,1.5217,1.3333,0.77219,ns
20s,Far Light Control,46,4,1.5217,1.5,0.85325,ns
20s,2hz,46,17,1.5217,2.3529,0.73745,ns
20s,2mw,46,5,1.5217,1.0,0.09489,ns
20s,5hz,46,20,1.5217,1.75,0.04738,*
Ctrl,Far Light Control,3,4,1.3333,1.5,0.83826,ns
Ctrl,2hz,3,17,1.3333,2.3529,1.0,ns
Ctrl,2mw,3,5,1.3333,1.0,0.3017,ns
Ctrl,5hz,3,20,1.3333,1.75,0.16969,ns
Far Light Control,2hz,4,17,1.5,2.3529,0.70752,ns
Far Light Control,2mw,4,5,1.5,1.0,0.12819,ns
Far Light Control,5hz,4,20,1.5,1.75,0.35036,ns
2hz,2mw,17,5,2.3529,1.0,0.20021,ns
2hz,5hz,17,20,2.3529,1.75,0.06439,ns
2mw,5hz,5,20,1.0,1.75,0.00308,**
