Parameter,Replicate,2,3,4,6,7,8,11,12,14,15,16
10s,1,,,1.0,,,1.0,,,,,
10s,2,,1.0,,,,1.0,,,,,
20,1,,,,3.0,,,,,,,
20,3,,,1.0,3.0,,,,,,,
20,5,,1.0,,,,,,,,,
20,6,,1.0,,,,,,,,,
20,7,,1.0,1.0,3.0,,,,,,,
20,9,,,1.0,2.0,,,,,,,
20,10,,,1.0,,,,,,,,
2hz,3,,1.0,,,,,,,,,
2hz,4,,1.0,,,,,,,,,
2hz,5,,1.0,,,,,,,,,
2mW,3,,1.0,,,,,,,,,
2mw,2,1.0,,,,,,,,,,
5hz,1,,2.0,,,,,,,,,
5hz,2,4.0,,1.0,,4.0,6.0,3.0,3.0,4.0,3.0,3.0
5hz,3,4.0,,,,4.0,5.0,3.0,1.0,4.0,3.0,3.0
5hz,4,3.0,,2.0,,3.0,3.0,3.0,2.0,3.0,3.0,3.0
5s,3,,1.0,,,,,,,,,
Ctrl,1,1.0,,,,,,,,,,
