Parameter,Replicate,ROI,spike_time_s
10s,1,4,76.78
10s,1,8,89.279
10s,2,3,137.778
10s,2,8,142.278
20,1,6,45.278
20,1,6,96.779
20,1,6,154.288
20,3,4,135.778
20,3,6,42.776
20,3,6,102.276
20,3,6,154.277
20,5,3,82.778
20,6,3,146.777
20,7,3,131.288
20,7,4,73.782
20,7,6,37.281
20,7,6,99.277
20,7,6,148.277
20,9,4,48.278
20,9,6,33.279
20,9,6,84.284
20,10,4,90.787
2hz,3,3,43.279
2hz,4,3,154.778
2hz,5,3,73.276
2mW,3,3,63.779
2mw,2,2,139.278
5hz,1,3,43.778
5hz,1,3,154.795
5hz,2,2,36.277
5hz,2,2,73.277
5hz,2,2,117.278
5hz,2,2,151.783
5hz,2,4,89.777
5hz,2,7,33.777
5hz,2,7,76.777
5hz,2,7,117.278
5hz,2,7,149.276
5hz,2,8,37.787
5hz,2,8,58.277
5hz,2,8,77.778
5hz,2,8,101.277
5hz,2,8,117.278
5hz,2,8,150.79
5hz,2,11,39.277
5hz,2,11,78.28
5hz,2,11,117.777
5hz,2,12,52.278
5hz,2,12,94.278
5hz,2,12,141.277
5hz,2,14,36.277
5hz,2,14,79.285
5hz,2,14,117.278
5hz,2,14,152.784
5hz,2,15,39.783
5hz,2,15,78.28
5hz,2,15,115.777
5hz,2,16,38.777
5hz,2,16,79.785
5hz,2,16,112.278
5hz,3,2,34.783
5hz,3,2,78.287
5hz,3,2,121.278
5hz,3,2,151.777
5hz,3,7,34.783
5hz,3,7,78.287
5hz,3,7,120.788
5hz,3,7,153.778
5hz,3,8,33.778
5hz,3,8,56.277
5hz,3,8,81.777
5hz,3,8,121.278
5hz,3,8,149.286
5hz,3,11,39.278
5hz,3,11,81.278
5hz,3,11,116.278
5hz,3,12,54.778
5hz,3,14,34.783
5hz,3,14,78.287
5hz,3,14,121.278
5hz,3,14,153.778
5hz,3,15,41.278
5hz,3,15,74.777
5hz,3,15,114.277
5hz,3,16,41.278
5hz,3,16,80.284
5hz,3,16,121.777
5hz,4,2,39.278
5hz,4,2,76.777
5hz,4,2,113.277
5hz,4,4,106.777
5hz,4,4,140.279
5hz,4,7,39.278
5hz,4,7,79.277
5hz,4,7,116.787
5hz,4,8,38.777
5hz,4,8,76.277
5hz,4,8,117.277
5hz,4,11,39.777
5hz,4,11,75.777
5hz,4,11,115.777
5hz,4,12,98.777
5hz,4,12,140.777
5hz,4,14,39.278
5hz,4,14,78.277
5hz,4,14,116.787
5hz,4,15,33.777
5hz,4,15,79.777
5hz,4,15,114.777
5hz,4,16,30.287
5hz,4,16,70.28
5hz,4,16,119.277
5s,3,3,72.277
Ctrl,1,2,76.277
