Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,1,7,17.777,4.580857142857143,1.0,ns
10s,2Hz,1,3,17.777,20.953666666666667,1.0,ns
10s,2mW,1,2,17.777,5.527000000000001,1.0,ns
10s,5Hz,1,1,17.777,4.277999999999992,1.0,ns
10s,5s,1,5,17.777,34.5256,1.0,ns
10s,Ctrl,1,3,17.777,18.68833333333333,1.0,ns
20s,2Hz,7,3,4.580857142857143,20.953666666666667,0.028655734216700812,*
20s,2mW,7,2,4.580857142857143,5.527000000000001,0.4226780741706355,ns
20s,5Hz,7,1,4.580857142857143,4.277999999999992,1.0,ns
20s,5s,7,5,4.580857142857143,34.5256,0.06872774311714261,ns
20s,Ctrl,7,3,4.580857142857143,18.68833333333333,0.36880340134896006,ns
2Hz,2mW,3,2,20.953666666666667,5.527000000000001,0.2,ns
2Hz,5Hz,3,1,20.953666666666667,4.277999999999992,1.0,ns
2Hz,5s,3,5,20.953666666666667,34.5256,0.7857142857142857,ns
2Hz,Ctrl,3,3,20.953666666666667,18.68833333333333,0.7,ns
2mW,5Hz,2,1,5.527000000000001,4.277999999999992,1.0,ns
2mW,5s,2,5,5.527000000000001,34.5256,0.38095238095238093,ns
2mW,Ctrl,2,3,5.527000000000001,18.68833333333333,0.8,ns
5Hz,5s,1,5,4.277999999999992,34.5256,1.0,ns
5Hz,Ctrl,1,3,4.277999999999992,18.68833333333333,1.0,ns
5s,Ctrl,5,3,34.5256,18.68833333333333,0.8807910225110613,ns
