Parameter,Replicate,2,3,6,10,11,12,13,14,15,16,17,18,19,20
10,1,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,,2.0,1.0,1.0
10,2,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,
20,1,,,,,,1.0,,,,1.0,1.0,,,
20,2,,,1.0,,,,,,,,1.0,1.0,,
5,1,,,,,,,,1.0,,1.0,,2.0,,
5,2,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,1.0
5,3,,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,,2.0
