ROI,n_spikes,spike_times_s
ROI.04 [],6,19.776;63.287;70.277;113.283;119.277;163.788
ROI.19 [],6,19.278;63.778;69.284;113.784;118.787;164.276
ROI.01 [],5,21.778;51.777;104.776;125.777;159.277
ROI.05 [],4,53.276;79.786;106.775;153.777
ROI.03 [],4,26.294;53.276;108.787;158.794
ROI.14 [],4,26.294;51.777;106.775;155.788
ROI.08 [],4,29.777;54.280;101.777;152.776
ROI.15 [],4,21.778;51.777;105.783;153.777
ROI.07 [],4,52.276;109.277;123.287;162.777
ROI.17 [],4,26.294;51.777;106.775;153.777
ROI.22 [],4,26.294;54.280;108.787;155.788
ROI.16 [],2,24.295;51.777
ROI.23 [],2,101.278;151.277
ROI.12 [],1,151.277
ROI.06 [],1,150.277
ROI.21 [],1,51.277
ROI.24 [],1,150.277
