Time (s),ROI.06 []
0.258,0.30871353160428966
0.805,0.21326040654876
1.279,0.1665745671046918
1.777,0.20641099761066042
2.278,0.1883814363715012
2.776,0.17914261510251836
3.287,0.19065465361229017
3.778,0.07614902101128626
4.276,0.1478608183139355
4.776,0.15938697855139103
5.277,0.08698995616582897
5.777,0.10871639263814523
6.276,0.13454702804390084
6.784,0.06956457318033046
7.276,0.09534060004759405
7.776,0.1165036619960403
8.292,0.10892383882169758
8.78,0.03424378986531726
9.284,0.07326512593029179
9.784,0.05775839537950673
10.278,-0.00040559080375659047
10.777,0.029308646444978784
11.277,0.05022643040466479
11.776,0.08541854499822146
12.276,0.08372672426006902
12.776,0.04186602096687027
13.277,0.04978916207559515
13.788,0.056991689439496056
14.276,-0.009694896170200282
14.777,0.09153034620321975
15.276,0.06278635276086744
15.777,0.08947312991447232
16.287,0.024193861046310352
16.776,0.0855677849404307
17.276,0.1079468048813712
17.787,0.021055104713643098
18.276,0.011631482246426792
18.787,0.03655432107066672
19.277,0.0076037616409169485
19.778,0.08415128489358555
20.287,0.14591089392203369
20.777,-0.01587280458874132
21.277,0.0016434076399470963
21.776,0.03931848086439584
22.286,0.0027037886683556277
22.776,0.08459427702944142
23.277,0.059077699368962566
23.777,0.046943863060743815
24.279,0.066614723609725
24.783,0.07418617997836703
25.278,-0.011288260164511454
25.778,0.052116767577787174
26.277,0.05217829007015439
26.779,0.055517253724042065
27.283,0.07765882313718461
27.785,0.008231683884941667
28.277,0.03859534011571702
28.791,0.058768549085806476
29.276,0.10350308519003013
29.776,0.09589640887249325
30.277,0.1274933120015957
30.777,0.06908232741714011
31.277,0.15223575754714314
31.777,0.0787726451307006
32.278,0.08701347782535312
32.777,0.0652050038788609
33.278,0.03836564550365277
33.777,0.05504225639514146
34.277,0.014603297582001412
34.777,0.05684296153625541
35.278,0.07250261877782364
35.787,0.01711302035218908
36.276,0.03449076308838279
36.786,0.07992319384953464
37.276,0.03526817245603308
37.777,0.036993221134801704
38.277,0.11126162015212293
38.777,0.06279909083275692
39.277,0.091480815910672
39.776,0.07432089357517781
40.287,0.016962648748224
40.777,0.07609452528351617
41.278,0.0414419767655912
41.776,0.018774688548063106
42.277,0.097338662630607
42.784,0.09282481574584453
43.277,0.043510751414472235
43.777,-0.002152240359213036
44.277,0.06848404570469706
44.781,0.0533059094047016
45.283,0.025161499212231396
45.784,0.0698100991028312
46.284,0.08480561056401484
46.779,0.055468206214008456
47.277,-0.01488182238161469
47.776,0.03351377941995266
48.278,0.10767470565529459
48.777,0.013633707315075832
49.277,0.051049038962990186
49.777,0.09247779855865611
50.277,0.0001789021234411697
50.778,0.0031518216314817336
51.276,0.06813244070905705
51.787,0.00897800506882104
52.277,0.083922920341606
52.778,0.05500183240971902
53.287,0.05899662915801602
53.778,0.06820753531543118
54.277,0.08484689112945237
54.777,0.10696052823610523
55.286,0.060969977733169985
55.777,0.044999645855423945
56.276,0.08360735087812927
56.777,0.038232171506770135
57.276,0.06458428632698567
57.777,-0.01721373907268018
58.276,-0.016295480980157404
58.777,0.030873549887724894
59.277,0.05832243776626671
59.777,0.05646196584137931
60.279,0.11460000316772968
