Time (s),ROI.05 []
0.259,0.021834893604673226
0.785,0.019875522293525332
1.277,0.016074818868808204
1.777,0.015568111207044866
2.276,0.012552322369429112
2.778,0.011176204665140712
3.277,0.009684936902250299
3.776,0.008949924074800284
4.284,0.011879020803474359
4.779,0.00881992573985845
5.277,0.008079767922700988
5.787,0.007792263539231473
6.28,0.008764506722888346
6.783,0.006873818494464951
7.284,0.0071937944295689055
7.785,0.008050402544647032
8.277,0.0038787060778766934
8.777,0.0054374344796938815
9.277,0.0018738432481853167
9.776,0.007041901815606069
10.285,0.005260428187782738
10.779,0.005184716031229764
11.277,0.008555172630804431
11.787,0.005069606511589836
12.277,0.003374325303868871
12.777,0.005477390956770009
13.277,0.00478005029734378
13.777,-0.00014627933690746671
14.275,0.003423476087166887
14.786,0.00644878557329683
15.276,0.007914431096358558
15.777,0.01067381596696185
16.277,0.007970026566962076
16.777,0.006766892255425197
17.277,0.006991109280992031
17.776,0.006304921832911302
18.277,0.0062503158484351045
18.777,0.00792171977704285
19.277,0.00703561370123206
19.786,0.004745392955210749
20.276,0.0038021111091751597
20.777,0.003020871881967917
21.277,0.007930731953346393
21.776,0.001962801566341071
22.277,0.00364052341959838
22.776,0.003077438782129543
23.284,0.0030930128817334987
23.778,0.000609790528328447
24.277,0.00268350821709043
24.788,0.003831645919471544
25.278,0.0021797795811044542
25.78,0.002073508462069288
26.285,0.0005025475357295809
26.784,0.0061886230886993646
27.277,-0.0007180508805368486
27.777,0.001993186703469746
28.277,0.0021100021613959462
28.776,0.00623533049527253
29.287,0.0005743921482156227
29.777,0.0006731614525234484
30.277,0.00875890650595109
30.777,0.00928952612355681
31.278,0.0030393277484683954
31.777,0.0016784911009872696
32.277,0.004287591545118773
32.776,0.0011803324302210848
33.277,0.0009512729161555983
33.777,0.0006337698417750828
34.286,0.0023861138983050137
34.778,-0.0010695082659066537
35.277,-0.0007092149684549275
35.776,-0.000519589398345536
36.276,0.0015770839592642739
36.777,0.001117991796117983
37.286,0.0030537700619107052
37.776,0.0010997004086052442
38.286,0.0002871317367815191
38.777,0.0012631868408154625
39.276,0.002776238220790564
39.778,0.002978145029202417
40.276,0.006390553869354514
40.776,0.0010904682536500073
41.278,0.0033983217587050083
41.777,0.0027049262513004877
42.277,0.002875960892714359
42.777,0.0027150075619710203
43.276,0.000979447524673717
43.778,-4.6751941591728016e-05
44.281,0.002212702124412575
44.784,-0.0023588240187774594
45.284,0.005980237043489072
45.787,0.0036157362452004576
46.278,0.0026650198522974425
46.777,0.003610153130893495
47.278,0.003718761597961138
47.777,0.004627649997761292
48.287,0.005535518571111459
48.777,0.005051441196613128
49.287,0.004744539372049015
49.777,0.0029845835288715276
50.277,0.001116196335152828
50.786,0.0011744958076779916
51.277,0.004468150228346223
51.778,0.0001521048311816735
52.277,0.005523920273088167
52.776,0.002201825382902771
53.288,0.001318861764909828
