Parameter,Replicate,1,2,4,5,6,7,8,9,10,11,12
10s,2,1.0,,,,1.0,,,,,4.0,
10s,3,,1.0,,,,,,,,,
10s,4,1.0,,,,,,,,,,
10s,6,1.0,,,,,,,,,,
1mW,3,,,,,1.0,,,,,,
20s,1,,,,1.0,,1.0,,2.0,2.0,4.0,1.0
20s,2,,,,,,,,2.0,1.0,,
20s,3,3.0,,,,,,,,1.0,1.0,
20s,4,3.0,,,,,,,,,1.0,
20s,6,1.0,,,,,,,,,,
20s,7,,,,,,,,,,4.0,
20s,8,1.0,,,,,,,,,,
2Hz,1,1.0,,,,3.0,,1.0,,,,
2Hz,2,,,,,,,,,,1.0,
2Hz,3,,,,,3.0,,1.0,,,,
2Hz,5,,,,,1.0,,,,,3.0,
2Hz,6,,,,,,,,,,1.0,
2mW,2,,,1.0,1.0,,1.0,,,,,
5Hz,1,,,,,1.0,,,,,,
5Hz,2,1.0,,,,,,,,,,
5Hz,3,1.0,,,,,,,,,1.0,
5s,1,,,,,,,1.0,,,4.0,
5s,2,,,,,1.0,,,,,3.0,
5s,3,1.0,,,,,,,,,,
5s,4,2.0,,,,,,,,,,
5s,6,,1.0,,,,,,,,,
Ctrl,1,,,,,,,,2.0,1.0,,
Ctrl,2,,,,,,,,2.0,,2.0,
Ctrl,3,,,,,,,,3.0,,3.0,
