Time (s),ROI.04 []
0.258,-0.01702266419510703
0.784,-0.08673161275551536
1.277,-0.0705491119253662
1.787,-0.07008273769619956
2.278,-0.09878616397683267
2.777,-0.1523419450872165
3.285,-0.08220865546816658
3.777,-0.053413941044656396
4.278,-0.10414726386916853
4.796,-0.07475067165008156
5.283,-0.09348151232839007
5.784,-0.05740399970094785
6.277,-0.07447398167634899
6.777,-0.0832036792301622
7.278,-0.11823120928264941
7.778,-0.005881575430796807
8.288,-0.1058627569138116
8.778,-0.09684505676321077
9.277,-0.06232365026164172
9.788,-0.06306372704536113
10.28,-0.10083203278679542
10.779,-0.12775469866312414
11.288,-0.09462811052789798
11.777,-0.09111622858391077
12.277,-0.05412020211497039
12.777,-0.12730041487591706
13.288,-0.11374907258354257
13.777,-0.08891230106683884
14.285,-0.0714946821297029
14.776,-0.11544981477582132
15.287,-0.05928945534559495
15.779,-0.06309069193831353
16.277,-0.05751412520395654
16.784,-0.007278849678167648
17.278,0.0008611607964248968
17.778,-0.03910798216144591
18.296,-0.011967376812412835
18.783,0.0029489903461180967
19.287,-0.04053252496226689
19.778,-0.0676805711466417
20.296,0.015040378296143507
20.779,-0.025753241983580987
21.277,0.0020813631282202783
21.786,-0.044922409442728795
22.278,-0.01935109991070943
22.777,-0.02232069061421714
23.277,0.021617915989748247
23.776,-0.02810399338133679
24.287,0.005233344319830325
24.779,0.013748760717145564
25.278,-0.023791869693145378
25.787,-0.027941340040665535
26.278,-0.08291416631143153
26.777,-0.04716073975940244
27.277,-0.02210597763611304
27.787,-0.027746050288900568
28.279,-0.03322284947246636
28.777,-0.05670544606306545
29.278,-0.035361606423417846
29.777,-0.00160534929585723
30.278,-0.0058813914689684705
30.776,-0.0004916722422452711
31.294,-55.58206600497222
31.782,-65.95878903533585
32.285,-64.25963398324271
32.78,-70.57805964827902
33.279,-70.27799813830123
33.779,-70.78902700407265
34.277,-71.63752009915135
34.777,-71.27328415614514
35.288,-61.813841446745485
35.777,-71.42336998848673
36.277,-71.36802361776697
36.787,-62.452580852921365
37.279,-69.26462457772185
37.779,-69.80198737446365
38.278,-70.30046586258757
38.779,-70.86628620746161
39.278,-70.78228570374445
39.777,-70.65655804071721
40.279,-69.81685148249294
40.777,-70.77268509390778
41.278,-70.90016410257621
41.777,-70.74146953860054
42.277,-70.36287768064568
42.778,-69.9706471972905
43.287,-62.17023697833996
43.777,-71.07231705114091
44.279,-68.96248203659357
44.783,-66.45916599457676
45.285,-64.28183962169986
45.778,-69.85050601512661
46.294,-55.83079864938518
46.778,-69.49766012730414
47.288,-61.68215491817621
47.777,-70.53598493396753
48.286,-62.6830408079593
48.776,-70.66778460763352
49.278,-69.3986504840305
49.777,-69.93763864215902
50.276,-70.8469015383176
50.788,-61.04431459382892
51.278,-0.01089035377302241
51.789,-0.07025610076374449
52.277,-0.05218749113627385
52.776,-0.006842875038148623
53.287,-0.0080714616350091
53.778,-0.03589768180983133
54.278,-0.02969911105425026
54.778,-0.055439843559277335
55.277,-0.06488945658002765
55.787,-0.1052962811392661
56.278,-0.04623627487166758
56.779,-0.08613208049122723
57.283,-0.035123958182946655
57.784,-0.11422511600331396
58.279,-0.05856156276625595
58.797,-0.10026081467407631
59.278,-0.05391212364697737
59.777,-0.03340164511235866
60.288,-0.03827147427616883
60.777,-0.04102028111824986
61.278,-0.020944018120848007
61.777,-0.051060498180860794
62.279,-0.0595679624584262
62.788,-0.0038586908067860196
63.277,-0.028501409668512143
63.787,-0.04479836977519694
64.278,-0.04881318943899595
64.776,0.0041802483740181525
65.289,0.019039644415497572
65.777,-0.07978327724958151
66.284,-0.03989747772848638
66.776,0.011725654964408055
67.277,-0.0417940938028446
67.778,-0.05166681318913639
68.277,-0.06259440501659307
68.786,-0.041455547967631144
69.283,-0.013812746700396745
69.778,-0.04451313714106518
70.28,0.005261965986568934
70.783,-0.04380736801499316
71.285,-0.07000739538201146
71.79,-0.04238024698263731
72.277,-0.03387318191890569
72.777,0.016024663792778223
73.286,-0.017652278396711678
73.778,-0.06416780096113037
74.277,-0.023581583989871768
74.785,-0.013645739944266464
75.278,-0.03953893605556278
75.777,-0.057701069030491055
76.278,-0.04032815770181509
76.788,-0.08482626415080734
77.277,0.011472691406932762
77.778,0.04594938416583684
78.276,-0.0014588984976164705
78.787,0.03128346779157648
79.278,-0.07468670463808644
79.778,-0.032583875117042
80.278,-0.05272987751464817
80.778,0.02494951641359166
81.278,-68.1921017810379
81.779,-68.22854088557996
82.277,-69.42130230726794
82.787,-60.80542426052211
83.277,-69.23797050387132
83.781,-66.12250075966614
84.284,-63.391114238162956
84.779,-69.20924386499969
85.278,-68.73820801696151
85.787,-69.57586788270388
86.277,-69.68448043573264
86.777,-69.01301378788924
87.288,-60.12500295491099
87.777,-69.27749975676605
88.277,-69.3642342169878
88.778,-68.07877587536125
89.278,-68.07851357885536
89.787,-60.14891682163739
90.278,-67.34247474840994
90.778,-69.02151677063948
91.287,-60.20175142894829
91.778,-67.8768266765806
92.277,-69.15894257376696
92.777,-69.1067886995039
93.288,-59.148083406978266
93.776,-68.78610198195855
94.279,-67.34840770291466
94.778,-68.08867603960138
95.284,-62.88421068881441
95.778,-68.29497303592176
96.288,-68.11459094964155
96.782,-64.62660740904222
97.285,-62.385585021133565
97.784,-62.24245710411258
98.276,-68.3368039588593
98.778,-67.63167728465336
99.278,-68.13146368610198
99.776,-68.46183611773147
100.288,-58.842900339610964
100.777,-68.90004357664039
101.277,-0.04226013641512563
101.777,-0.05224074607150749
102.278,-0.08241856129277916
102.776,-0.06952755365718162
103.287,-0.048610952140974516
103.778,-0.08372218759912177
104.277,-0.07976480915705163
104.777,-0.06293248475572695
105.287,-0.0038127104760991306
105.777,-0.05817043995084401
106.287,0.03238376609698423
106.776,-0.03416590032564904
107.288,-0.018033614903493523
107.778,-0.03400548815464148
108.277,-0.02548444251733292
108.785,-0.02678354777890269
109.277,-0.03465683576041062
109.787,-0.07831797586498743
110.28,-0.0020103377778197943
110.785,-0.006802374301707537
111.284,-0.021788203821657942
111.776,0.023008259325756453
112.277,-0.020911050709201094
112.777,-0.03872968924011104
113.277,-0.04543896418327156
113.788,0.03453620788535671
114.278,-0.015009893633708993
114.789,-0.007152604381407094
115.277,-0.014927543744114343
115.777,-0.027112553137501022
116.278,-0.025438284062624703
116.778,-0.0137810147112094
117.278,0.004172549914655469
117.781,0.01981700438201406
118.278,0.009701904096380432
118.777,-0.003318451626374543
119.287,-0.02486082691300906
119.784,-0.05886712453521688
120.278,-0.01371433257407094
120.777,-0.008464482830734525
121.276,-0.011540364851219216
121.777,-0.016049902153951152
122.284,-0.06926731248694021
122.778,-0.014851049287378716
123.287,0.006934925244536555
123.779,-0.026079142194551732
124.288,-0.031144691526630113
124.784,0.000841058470371286
125.277,-0.030353572134203484
125.795,-0.03522913230771492
126.277,-0.043006394485975596
126.777,-0.015169079736011138
127.288,0.02051610162607913
127.776,-0.0383515965020833
128.289,-0.013201888912495295
128.776,-0.04254557043879561
129.276,-0.07049577171120441
129.785,-0.00992404610423047
130.278,-0.07662433300484585
130.777,-0.013786115401762401
131.289,-58.8746308427899
131.777,-67.49028696827588
132.276,-68.07135373362657
132.777,-67.48517341607705
133.288,-59.68421028673162
133.778,-66.97742274100086
134.277,-67.90945010111695
134.777,-68.56147074618447
135.278,-68.08284624600847
135.786,-61.38388363237232
136.276,-69.09476949050688
136.786,-60.94659895547362
137.279,-66.7895997826637
137.784,-62.627266307205424
138.288,-62.06243347684033
138.777,-68.8239143791443
139.294,-54.56335234599125
139.778,-69.15172545843625
140.277,-68.63098050122504
140.787,-60.11153699315109
141.278,-67.72198676304579
