Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 [],ROI.03 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 []
0.258,-0.012056066109101144,0.005075741856927882,0.0,0.024127045450815066,0.007828803853047921,0.02299083251007281,0.017698151107822652,-0.0005057253597161214,-0.0067821871998067045,0.003919532176938513,-7.336212078779565e-06,-0.023242837389091817,0.013980456922973204,0.02299083251007281,0.012494298781002965
0.784,0.01687515842136359,0.002331096756399468,0.0,0.03288173540740316,0.012484008022976842,0.02368328432307359,0.009178599378858624,0.004140652062401522,0.006626508519293524,0.0004751419443905864,-0.00040366761223582136,0.018319473898037543,0.01101223000460833,0.02368328432307359,0.01108641192017666
1.277,0.03958431998403081,0.019528881900869047,0.0,0.019326740937310696,0.00047863304493270237,0.03285229430197779,0.038307121561429486,0.014000327152172793,0.02777239329222993,0.009692153554107132,0.006764850581038093,0.055076187541763535,0.024636423618998714,0.03285229430197779,-0.001998306433340058
1.787,0.05500010500296204,0.015041901093829179,0.0,0.014804770084733613,0.016818753702632062,0.02570559105243335,0.04337416680356784,0.017367543432012623,0.013766649549781702,0.008796710986112115,8.253178041579454e-06,0.06744856558844367,0.0036860757505196456,0.02570559105243335,0.020157012724312605
2.278,0.05224651509965785,0.00534318175419062,0.0,0.03460587519469799,0.008995370677025421,0.03528061021090653,0.03747114847711618,0.01371151322293807,0.011121503272917903,0.006532352125039456,0.00943627434126987,0.059295344592364393,0.021097126691910956,0.03528061021090653,0.013961838187657354
2.777,0.057255789553651314,0.008970813381681635,0.0,0.024227417179472507,0.004827505722400811,0.023597510369477676,0.05780017324529274,0.01612672233998357,0.016273708459770515,0.0022516967894530295,0.013516127772560605,0.07902511314554835,0.01695430493770273,0.023597510369477676,0.012467360531983634
3.285,0.036972642237094656,0.0004280443039763273,0.0,-0.006069948877285354,-0.01596527235108109,0.0023135724151628315,0.05763301696949827,0.005265948848081114,0.00095547181077214,0.012609801635278662,0.004539058471716755,0.04274030713637443,0.0036921903931868764,0.0023135724151628315,-0.011440266816294668
3.777,0.04292678928613396,0.012121810581381629,0.0,0.0008171409357100501,0.003427552581531966,0.022943487605710283,0.036590937745341466,0.012605318209779445,0.01661604306339651,0.013674539490538967,0.015086382085645519,0.057592413764253995,0.002931019439200493,0.022943487605710283,0.0025769533076690837
4.278,0.033185379090309435,0.016557099260855555,0.0,0.03841657620597817,0.024526144117851856,0.04901985346891311,0.016356756671467295,0.015244977115412953,0.02624212021919551,0.015287373872748047,0.01997695759247613,0.04460343256569759,0.026971900233240042,0.04901985346891311,0.02142980705873803
4.796,0.03569694862223324,0.010443969916829242,0.0,0.016849149135951622,-3.53959842771151e-05,0.01588268614063102,0.024556688089516093,0.02380976290225889,0.013612688003895517,0.009945355591828289,0.008585184958796267,0.040609907354744915,0.012594545737660695,0.01588268614063102,-0.0002577312756319251
5.283,0.03219664155871003,0.01807164907565192,0.0,0.016465833423347415,0.03162678902901939,0.0072497257243356455,0.012714869065812668,0.027632289978583132,0.013922935320382634,0.016061936111795464,0.013100914957013385,0.035728093355371054,0.016292209209540547,0.0072497257243356455,0.024920020938998616
5.784,0.05984580550376094,0.023328145277158444,0.0,0.056503697891423114,0.019712669662692184,0.033891584263826345,0.02335300482451366,0.02559111067362935,0.028837189552551476,0.026788361941760905,0.003419655352095723,0.06333005551673604,0.040244005719241346,0.033891584263826345,0.017881596741501346
6.277,0.03680034535048539,0.009908806217963742,0.0,0.04579450350756589,0.015874176376024906,0.013144181844636943,0.029121682671724793,0.005068247299642351,0.024263542978672753,0.0015321971745554878,0.012259041526385213,0.031396263223635285,0.026467561822715775,0.013144181844636943,0.015474729842354457
