Time (s),ROI.01 [],ROI.02 [],ROI.000 [],ROI.04 [],ROI.05 [],ROI.03 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 []
0.258,0.008754283496798349,0.002978089312658386,0.0,0.03189563153984933,0.009637110866282116,0.03860640729196573,0.0008828391225716754,-0.01777143761176263,0.001058135242619548,-0.003951241010216744,0.016025133923835463,0.013419845136427572,0.03172365302532865,0.03860640729196573,0.010585920925607173
0.784,0.09135379069773604,0.019960751530545568,0.0,0.03767030405968331,0.007848166096148938,0.06074970295822624,0.06124706174434313,0.009251201720895086,0.0039087079338804885,0.014767510189074275,0.020597595063105923,0.1104666646226638,0.044717543755107,0.06074970295822624,0.008331523670750665
1.277,0.10764504900796508,0.02791292650604968,0.0,0.03415236017665762,0.014536166459076037,0.06969494515936524,0.07125701117840363,0.02525831012941651,0.01334276956001752,0.010652836632912964,0.020106471496196265,0.14304782289981938,0.04110274400622352,0.06969494515936524,0.017065947544848473
1.776,0.1148649502963217,0.03259602271098674,0.0,0.031516898000139563,0.014429999910492737,0.06730139100600671,0.07522498390168743,0.02319278597049407,0.012522100109215444,0.019880273511552967,0.026749168522358393,0.16396156429004713,0.030289597697731676,0.06730139100600671,0.013907925664364888
2.278,0.1064508509531803,0.03330559551814787,0.0,0.02809325509943389,0.02689979279448957,0.07280348605130652,0.08270465212894369,0.026062406021808603,0.018985890930554382,0.028770424774166338,0.028302879449972056,0.16392084877397345,0.02901284772426952,0.07280348605130652,0.02941158071203259
2.778,0.11696174260076732,0.03791164693097014,0.0,0.0353925368260067,0.02041336153464422,0.08013526996183422,0.09784082838254257,0.027590407920579114,0.0196596540100127,0.03144805265008271,0.030699479203675845,0.1723678642675656,0.04026891444627219,0.08013526996183422,0.02033832060556647
3.278,0.10573822093176471,0.04240775849626675,0.0,0.03234048111705118,0.024216611197629665,0.07421129888630276,0.0849042353674601,0.03735315266935291,0.026195086552922204,0.04182661365899239,0.028531357524353734,0.15782216121126402,0.03559514509460018,0.07421129888630276,0.023563696767904794
3.789,0.0871460861145093,0.02509271630490018,0.0,0.019845816122559482,0.003309225508073052,0.043072672272713206,0.060480176538662535,0.014731952256569618,0.016854936773243574,0.02684511936787969,0.014214305072886166,0.13848123422877107,0.023406955875589885,0.043072672272713206,0.004122937749608679
4.278,0.07229812571610349,0.024452695459484995,0.0,0.018573765780378573,0.0008514232141392322,0.046286372425739304,0.049647323086323476,0.022486850071897733,0.017139087950294438,0.026188864726859114,0.01916059720761372,0.10884902345694775,0.02680009970192514,0.046286372425739304,0.0006321078208036641
4.782,0.08926188147878465,0.02561099042381003,0.0,0.02514809458368236,0.002583745841411559,0.03991985465503333,0.07384273498079676,0.026233758041475014,0.019628971572234533,0.026047386806847917,0.010796338708789268,0.13232615827785124,0.019833274861371316,0.03991985465503333,0.0037952503405266694
5.284,0.09077102495626348,0.025458500616110383,0.0,0.026939490821182376,0.00932616280478681,0.0501128819388551,0.08058565277494355,0.02388578709142103,0.013565412536543326,0.0253286720562107,0.023661998459091414,0.1410022690844167,0.038995151285910926,0.0501128819388551,0.005301404112981595
5.776,0.07669468243879907,0.017080641916469384,0.0,0.013352411057209,0.003550467790678388,0.025779914113847592,0.0596365923227935,0.018774341587726017,0.013359972276211189,0.016691739110261603,0.0142660516098387,0.11260360786740943,0.017127554199732373,0.025779914113847592,0.0041305287006262485
6.294,0.06539936097012658,0.02103231504961675,0.0,0.03488588128305686,0.00889818909452275,0.023351811807334578,0.061796368341799815,0.019587319052583624,0.012937833584393474,0.021936435931524185,0.021884913861609817,0.08314596139433111,0.03822507289609084,0.023351811807334578,0.007910925102827154
6.776,0.07097340808039883,0.015948826447109567,0.0,0.020895820363012574,0.005010820627114521,0.023016117613577684,0.062046362054130534,0.016952127436234615,0.010655202888373115,0.00990994624357926,0.020448070891459287,0.10955175476129397,0.01753252030075216,0.023016117613577684,0.002100519169665309
7.278,0.05445433237953796,0.013874776080787465,0.0,0.01002108764606217,0.003181164209754232,0.021914705761257147,0.04813998883266494,0.017672863619963387,0.01058590781055321,0.008786040633530034,0.005757402305504565,0.09621249649393927,0.013959390754593322,0.021914705761257147,0.002259744276709223
7.776,0.05276097330310685,0.010888159140120089,0.0,-0.0013099961696310589,0.0017413420500653081,0.015325481270366753,0.031137420497229926,0.011593953724484459,0.010327130126501018,0.005798763317960766,0.01051215709768545,0.08117371613121321,-0.0017066365714176446,0.015325481270366753,0.0022134958310995215
8.277,0.06215403911272573,0.018129990563842215,0.0,0.0070665009186960445,0.0051028761274816035,0.02700056785362313,0.03901965717346297,0.014590828108736922,0.01609455162725126,0.016663981761342476,0.010021854779559759,0.09476334869085178,0.008730760448090529,0.02700056785362313,0.002559713815364672
8.786,0.043270560057780814,0.0045737270786284315,0.0,0.0036833363959401146,-0.0015204710575786652,0.007963655181933052,0.020571915808601456,0.008305110437881624,-0.00031144223572380646,0.008223282942441535,0.0020507362421439516,0.07524926685705695,0.0042144459587546736,0.007963655181933052,0.00018320473863760224
9.277,0.028869412176795582,0.011017369863722658,0.0,-0.012501177479748549,0.0008337508972471983,0.01183055722492358,0.023526965353878715,0.010963049747445606,0.013134743178628162,0.007089748928367857,-0.0007058886807451286,0.04372389838403022,0.00012110614561377184,0.01183055722492358,0.0034131178460456006
9.788,0.028389868246286153,0.01319678050672857,0.0,-0.00018668860964126836,0.0024672582569130923,0.01577125658089498,0.029453238146230572,0.01622864752745719,0.00406891894904346,0.009118166661835644,0.02031259692729553,0.040628992785824346,-0.001441267067149163,0.01577125658089498,0.0013202809649653867
10.275,0.034918158256268386,0.014141650148550157,0.0,0.01609771855564847,0.001564640811196396,0.02260561779714021,0.02892979881475423,0.012685315601685395,0.008273179299354644,0.016144804145543843,0.014443731451346996,0.043041314241159284,0.01359504395303011,0.02260561779714021,0.002683835132515206
10.786,0.040973453886304474,0.006169453726755833,0.0,0.0068313974269206,0.00038599067032922714,0.008205729385713505,0.05172470339991004,0.004913468386446165,0.003972127290999421,0.009862907198138123,0.009917871621305679,0.06824295111800219,0.006295753669951685,0.008205729385713505,-6.995488237663759e-05
11.278,0.04053128096373916,0.006113270436252672,0.0,0.002287835776771933,0.0013939914515596467,0.008165554825843583,0.05365724921309836,0.008870491984670452,0.006116151415072721,0.00681792547463746,0.007725252419611363,0.06930229543917195,-0.0008957889986343746,0.008165554825843583,0.002710539565443536
11.777,0.030835803665931694,0.002311767739024312,0.0,0.016576366899609687,-9.262917991918225e-05,0.0047286453965352,0.03413712328511501,0.004852534338001684,0.0004972415167799381,0.004763934180595376,0.00833200638563808,0.05071704823029016,0.016534484428473346,0.0047286453965352,0.0011106618613147868
12.287,0.045704904922593964,0.0023272057049986794,0.0,0.003288774141238554,0.0011306209884537003,0.009032003617185622,0.03748901590796333,0.0035100129169816858,0.006790223787763516,0.006957214170316866,0.005258723737748893,0.07846277871223332,0.0067020037937386865,0.009032003617185622,0.00011033942388632775
12.777,0.06316340390888917,0.004644237169333944,0.0,0.017740773647277774,0.0014115820725816722,0.009881934091051316,0.07269194976854658,0.005322622949113258,0.009245141475567563,0.005785843027329636,0.00021148604205578083,0.1182137674002513,0.024489693583662063,0.009881934091051316,0.0014472279510852509
13.277,0.04360968738018237,0.0025137426996886536,0.0,0.015288934841633848,0.0015462800448440683,0.013617564156246516,0.051561527439912255,0.004919256317016862,0.00035075914543703657,0.0038689369430104548,0.005486410267575173,0.07330435504965449,0.01814604296756112,0.013617564156246516,-0.00022791761438411564
13.788,0.029251511500862457,0.010858418632871986,0.0,0.025288861760769176,-0.0003724475154371214,0.011997104030920363,0.03599988275664025,0.01402704485859213,0.00843792120471603,0.005820457586590772,0.002651793884840026,0.05970431347863327,0.026970575857538676,0.011997104030920363,-0.001049036027121821
14.277,0.009829039349759934,-0.00018761560474308175,0.0,0.017648513558748937,0.0006682450004237862,6.026820133611028e-05,0.0066631106372214656,0.003500212264310397,0.002507446784262517,-0.0013850592188730992,0.003733483150282061,0.03637914686062232,0.02420347186364045,6.026820133611028e-05,0.003987942627719568
14.787,0.0107780835780444,0.0038718326629362896,0.0,0.00789820652558654,0.010017588866389999,0.007272995117889619,0.021327290466071125,0.005280847918379563,0.00305379895941328,0.0065722303685205605,0.0036053491563974352,0.01465432787918014,0.01907489669266068,0.007272995117889619,0.009972293283091415
15.278,0.010525467000140721,0.00032543780010704885,0.0,0.009051704017806627,0.005267992138879719,0.008450791640389196,0.01198721033242385,0.00590017938684158,0.003825192491944591,-0.003358954533900002,0.0031812723022290415,0.01863125270578702,0.012408361566202624,0.008450791640389196,0.005209536611245962
15.778,0.023848929783242333,0.002933883143957063,0.0,-0.007611089284369271,0.011139031889225211,0.011369015809764838,0.019794659170000763,0.0022463271514700464,0.003515407016837826,0.003000096675028652,0.015392088040840673,0.0336405929209459,-0.00850284265257795,0.011369015809764838,0.010589192017159854
16.286,0.018226995926228732,0.0007767364635847712,0.0,-8.03838996604673e-05,-0.0004617572644332394,0.0007304130080404371,0.029755296683276065,0.0020969265064836526,0.006756942190609643,0.0032541976745831566,0.025459753900325666,0.034403482067972814,0.0011674713734965913,0.0007304130080404371,0.002539052113308396
16.778,0.016474292339255327,-0.003984838858056499,0.0,0.005873203626695409,0.004877241183805191,0.0035548078455771986,0.028021355657997064,-0.005885829409104826,-0.0029416084853846674,-0.001782190636665362,0.013769938445954024,0.017157433236003012,0.010104413054519892,0.0035548078455771986,0.005071605083604055
