ROI,n_spikes,spike_times_s
ROI.20 [],5,15.287;50.777;73.278;125.277;169.778
ROI.07 [],4,21.278;119.778;180.776;186.287
ROI.08 [],2,20.778;119.278
ROI.11 [],2,53.278;73.278
ROI.02 [],1,29.277
ROI.16 [],1,71.287
ROI.23 [],1,160.285
